Año,Clave,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,9002,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2015,9002,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo a casa habitación,Con violencia,0,3.0,2.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0
2015,9002,El patrimonio,Robo,Robo a casa habitación,Sin violencia,14,15.0,19.0,19.0,13.0,20.0,18.0,21.0,31.0,26.0,27.0,12.0
2015,9002,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,13,8.0,18.0,15.0,13.0,16.0,12.0,12.0,11.0,12.0,18.0,11.0
2015,9002,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,46,40.0,60.0,48.0,40.0,35.0,33.0,49.0,57.0,47.0,50.0,54.0
2015,9002,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,1,4.0,3.0,4.0,0.0,8.0,6.0,4.0,7.0,4.0,4.0,8.0
2015,9002,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,8,9.0,5.0,6.0,4.0,4.0,6.0,6.0,5.0,12.0,11.0,6.0
2015,9002,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo de autopartes,Con violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo de autopartes,Sin violencia,12,6.0,13.0,11.0,11.0,11.0,12.0,19.0,18.0,28.0,16.0,16.0
2015,9002,El patrimonio,Robo,Robo a transportista,Con violencia,0,1.0,8.0,2.0,1.0,0.0,2.0,4.0,6.0,0.0,2.0,3.0
2015,9002,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015,9002,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,27,29.0,39.0,34.0,31.0,45.0,41.0,41.0,38.0,52.0,39.0,43.0
2015,9002,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,5,5.0,8.0,8.0,5.0,12.0,6.0,5.0,10.0,7.0,9.0,7.0
2015,9002,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,3.0,4.0,1.0,3.0
2015,9002,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo en transporte público individual,Con violencia,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2015,9002,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,6,5.0,8.0,6.0,5.0,7.0,11.0,3.0,4.0,5.0,7.0,8.0
